CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LANGUAGE_KEY,LOAD_TIME
ABD,30,Abadan,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,30.3636097,48.2591475,2,
ABE,31,Allentown,US,US_PA,U.S.A.,USA,NAME,Pennsylvania,North America,AM,America,1,40.1658829,-84.3743929,2,
ABF,32,Abaiang,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,2.19410135,172.780204,2,
ABG,33,Abingdon,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-17.6039983,143.1821719,2,
ABH,34,Alpha,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-23.6487639,146.6375809,2,
ABI,35,Abilene,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,43.9909041,-118.3878289,2,
ABJ,36,Abidjan,CI,,Ivory Coast,CIV,SAFR,,Subsaharan Africa,AF,Africa,1,5.320357,-4.016107,2,
ABK,37,Kabri Dar,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,-22.83571,30.54837,2,
ABL,38,Ambler,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,35.07373465,-118.1488519,2,
ABM,39,Bamaga,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-10.8895119,142.3891237,2,
ABN,40,Albina,SR,,Suriname,SUR,SAME,,South America,AM,America,1,5.498483,-54.0574537,2,
ABO,41,Aboisso,CI,,Ivory Coast,CIV,SAFR,,Subsaharan Africa,AF,Africa,1,5.4674904,-3.2066162,2,
ABP,42,Atkamba,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-6.0690333,141.099973,2,
ABQ,43,Albuquerque,US,US_NM,U.S.A.,USA,NAME,New Mexico,North America,AM,America,1,35.0841034,-106.650985,2,
ABR,44,Aberdeen,US,US_SD,U.S.A.,USA,NAME,South Dakota,North America,AM,America,1,45.45909,-98.48691,2,
ABS,45,Abu Simbel,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,22.366667,31.633333,2,
ABT,46,Al-Baha,SA,,Saudi Arabia,SAU,MIDE,,Middle East,AS,Asia,1,20.0137941,41.4656378,2,
ABU,47,Atambua,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-9.1059581,124.888064,2,
ABV,48,Abuja,NG,,Nigeria,NGA,SAFR,,Subsaharan Africa,AF,Africa,1,9.0643305,7.4892974,2,
ABW,49,Abau,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-10.18014775,148.7032553,2,
ABX,50,Albury,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-36.0737734,146.9135265,2,
ABY,51,Albany,US,US_GA,U.S.A.,USA,NAME,Georgia,North America,AM,America,1,31.5814,-84.15602,2,
ABZ,52,Aberdeen,GB,GBSCO,United Kingdom,GBR,NEUR,Scotland,Northern Europe,EU,Europe,1,57.1482429,-2.0928095,2,
ACA,53,Acapulco,MX,,Mexico,MEX,NAME,,North America,AM,America,1,16.8680495,-99.8940182,2,
ACB,54,Bellaire,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,44.98316,-85.21027,2,
ACC,55,Accra,GH,,Ghana,GHA,SAFR,,Subsaharan Africa,AF,Africa,1,5.5571096,-0.2012376,2,
ACD,56,Acandi,CO,,Colombia,COL,SAME,,South America,AM,America,1,8.5115155,-77.2790562,2,
ACE,57,Lanzarote,ES,ESCAN,Spain,ESP,SEUR,Canary Islands,Southern Europe,EU,Europe,1,29.0011978,-13.6137266,2,
ACF,58,Alaer,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,37.7842483,75.2635498,2,
ACH,59,Altenrhein,CH,,Switzerland,CHE,WEUR,,Western Europe,EU,Europe,1,47.4903839,9.5540541,2,
ACI,60,Alderney,GB,GBDEP,United Kingdom,GBR,NEUR,UK Crown Dependencies,Northern Europe,EU,Europe,1,50.7461126,-1.9419775,2,
ACJ,61,Anuradhapura,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,8.334985,80.4106096,2,
ACK,62,Nantucket,US,US_MA,U.S.A.,USA,NAME,Massachusetts,North America,AM,America,1,44.8157235,-73.06765633,2,
ACL,63,Aguaclara,CO,,Colombia,COL,SAME,,South America,AM,America,1,3.4989912,-76.2376487,2,
ACM,64,Arica,CO,,Colombia,COL,SAME,,South America,AM,America,1,-2.1475772,-71.7540411,2,
ACN,65,Ciudad Acuna,MX,,Mexico,MEX,NAME,,North America,AM,America,1,29.3248796,-100.9322287,2,
ACP,66,Sahand,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,37.7300055,46.4999351,2,
ALC,67,Alicante,ES,ESVAL,Spain,ESP,SEUR,Valencian Community,Southern Europe,EU,Europe,1,38.3456306,-0.499118,2,
ACR,68,Araracuara,CO,,Colombia,COL,SAME,,South America,AM,America,1,-0.6124369,-72.3834752,2,
ACS,69,Achinsk,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,56.2694846,90.4953964,2,
ACT,70,Waco,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,43.59253285,-71.15749783,2,
ACU,71,Achutupo,PA,,Panama,PAN,CAME,,Central America,AM,America,1,42.07495,-79.48365,2,
ACV,72,Arcata,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,40.86766,-124.08506,2,
ACX,73,Xingyi,CN,CNGUI,China,CHN,NEAS,Guizhou,North East Asia,AS,Asia,1,25.0947613,104.8935472,2,
AIY,74,Atlantic City,US,US_NJ,U.S.A.,USA,NAME,New Jersey,North America,AM,America,1,39.36287,-74.42637,2,
ACZ,75,Zabol,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,31.0277779,61.4948211,2,
ADA,76,Adana,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,36.9863599,35.3252861,2,
IZM,77,Izmir,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,38.4237433,27.1428019,2,
ADC,78,Andakombe,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-7.1361149,145.7453793,2,
ADD,79,Addis Ababa,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,9.0358287,38.7524127,2,
ADE,80,Aden,YE,,Yemen,YEM,MIDE,,Middle East,AS,Asia,1,12.789585,45.028504,2,
ADF,81,Adiyaman,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,37.7602379,38.2772662,2,
ADG,82,Adrian,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,41.89748,-84.03707,2,
ADH,83,Aldan,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,58.608414,125.388222,2,
ADI,84,Arandis,NA,,Namibia,NAM,SAFR,,Subsaharan Africa,AF,Africa,1,-22.417425,14.97561,2,
AMM,85,Amman,JO,,Jordan,JOR,MIDE,,Middle East,AS,Asia,1,31.9515694,35.9239625,2,
ADK,86,Adak Island,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,48.11804,-122.31062,2,
ADL,87,Adelaide,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-34.9281805,138.5999312,2,
ADM,88,Ardmore,US,US_OK,U.S.A.,USA,NAME,Oklahoma,North America,AM,America,1,41.92197755,-91.6948175,2,
ADN,89,Andes,CO,,Colombia,COL,SAME,,South America,AM,America,1,5.6555942,-75.8778448,2,
ADO,90,Andamooka,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-30.4534886,137.1650158,2,
GOY,91,Gal Oya,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,7.1513728,81.3271204,2,
ADQ,92,Kodiak,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,57.80934,-152.36522,2,
ADR,93,Andrews,US,US_SC,U.S.A.,USA,NAME,South Carolina,North America,AM,America,1,33.45153,-79.56227,2,
DFW,94,Dallas,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,32.91460495,-97.06583422,2,
ADT,95,Ada,US,US_OK,U.S.A.,USA,NAME,Oklahoma,North America,AM,America,1,35.47529975,-97.51370779,2,
ADU,96,Ardabil,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,38.2515581,48.2972269,2,
ADV,97,Addeain,SD,,Sudan,SDN,NAFR,,North Africa,AF,Africa,1,37.8615,-87.06115,2,
