CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LOAD_TIME
AAA,1,Anaa,PF,,French Polynesia,PYF,OCEA,,Oceania,OC,Oceania,1,-17.35892,-145.5998,
AAB,2,Arrabury,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-26.4746,141.0928048,
AAC,3,El Arish,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,31.123641,33.7983521,
AAD,4,Adado,SO,,Somalia,SOM,SAFR,,Subsaharan Africa,AF,Africa,1,11.61944,50.77306,
AAE,5,Annaba,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,36.8982165,7.7549272,
AAF,6,Apalachicola,US,US_FL,U.S.A.,USA,NAME,Florida,North America,AM,America,1,29.72551,-84.98701,
AAG,7,Arapoti,BR,BR_PR,Brazil,BRA,SAME,Parana,South America,AM,America,1,-24.1457957,-49.8224605,
AAH,8,Aachen,DE,DENOR,Germany,DEU,WEUR,North Rhine Westphalia,Western Europe,EU,Europe,1,50.776351,6.083862,
AAI,9,Arraias,BR,BR_TO,Brazil,BRA,SAME,Tocantins,South America,AM,America,1,-12.9287788,-46.9437231,
AAJ,10,Awaradam,SR,,Suriname,SUR,SAME,,South America,AM,America,1,3.85002,-55.61627,
AAK,11,Aranuka,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,0.22451795,173.6212548,
AAL,12,Aalborg,DK,,Denmark,DNK,NEUR,,Northern Europe,EU,Europe,1,57.0462626,9.9215263,
AAM,13,Mala Mala,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-24.80056885,31.54025474,
AAN,14,Al Ain,AE,,United Arab Emirates,ARE,MIDE,,Middle East,AS,Asia,1,24.2248697,55.7452211,
AAO,15,Anaco,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,9.432191,-64.466834,
SRI,16,Samarinda,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-0.5017804,117.1393089,
AAQ,17,Anapa,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,44.894272,37.316887,
AAR,18,Aarhus,DK,,Denmark,DNK,NEUR,,Northern Europe,EU,Europe,1,56.1496278,10.2134046,
AAS,19,Apalapsili,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-3.8865624,139.3116832,
AAT,20,Altay,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,47.8257562,88.1291701,
AAU,21,Asau,WS,,Samoa,WSM,OCEA,,Oceania,OC,Oceania,1,-13.5191306,-172.637108,
AAV,22,Surallah,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,6.3756107,124.7472504,
AAW,23,Abbottabad,PK,,Pakistan,PAK,SASI,,South Asia,AS,Asia,1,34.1436136,73.2132747,
AAX,24,Araxa,BR,BR_MG,Brazil,BRA,SAME,Minas Gerais,South America,AM,America,1,-19.6009149,-46.940923,
AAY,25,Al Ghaydah,YE,,Yemen,YEM,MIDE,,Middle East,AS,Asia,1,16.2110173,52.1828352,
AAZ,26,Quetzaltenan,GT,,Guatemala,GTM,CAME,,Central America,AM,America,1,14.8404,-91.50023,
ABA,27,Abakan,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,53.72068,91.4406019,
ABB,28,Asaba,NG,,Nigeria,NGA,SAFR,,Subsaharan Africa,AF,Africa,1,6.1858825,6.7297071,
ABC,29,Albacete,ES,ESCAM,Spain,ESP,SEUR,Castile la Mancha,Southern Europe,EU,Europe,1,38.9976616,-1.8600675,
ABD,30,Abadan,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,30.3636097,48.2591475,
ABE,31,Allentown,US,US_PA,U.S.A.,USA,NAME,Pennsylvania,North America,AM,America,1,40.1658829,-84.3743929,
ABF,32,Abaiang,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,2.19410135,172.780204,
ABG,33,Abingdon,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-17.6039983,143.1821719,
ABH,34,Alpha,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-23.6487639,146.6375809,
ABI,35,Abilene,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,43.9909041,-118.3878289,
ABJ,36,Abidjan,CI,,Ivory Coast,CIV,SAFR,,Subsaharan Africa,AF,Africa,1,5.320357,-4.016107,
ABK,37,Kabri Dar,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,-22.83571,30.54837,
ABL,38,Ambler,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,35.07373465,-118.1488519,
ABM,39,Bamaga,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-10.8895119,142.3891237,
ABN,40,Albina,SR,,Suriname,SUR,SAME,,South America,AM,America,1,5.498483,-54.0574537,
ABO,41,Aboisso,CI,,Ivory Coast,CIV,SAFR,,Subsaharan Africa,AF,Africa,1,5.4674904,-3.2066162,
ABP,42,Atkamba,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-6.0690333,141.099973,
ABQ,43,Albuquerque,US,US_NM,U.S.A.,USA,NAME,New Mexico,North America,AM,America,1,35.0841034,-106.650985,
ABR,44,Aberdeen,US,US_SD,U.S.A.,USA,NAME,South Dakota,North America,AM,America,1,45.45909,-98.48691,
ABS,45,Abu Simbel,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,22.366667,31.633333,
ABT,46,Al-Baha,SA,,Saudi Arabia,SAU,MIDE,,Middle East,AS,Asia,1,20.0137941,41.4656378,
ABU,47,Atambua,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-9.1059581,124.888064,
ABV,48,Abuja,NG,,Nigeria,NGA,SAFR,,Subsaharan Africa,AF,Africa,1,9.0643305,7.4892974,
ABW,49,Abau,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-10.18014775,148.7032553,
ABX,50,Albury,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-36.0737734,146.9135265,
ABY,51,Albany,US,US_GA,U.S.A.,USA,NAME,Georgia,North America,AM,America,1,31.5814,-84.15602,
ABZ,52,Aberdeen,GB,GBSCO,United Kingdom,GBR,NEUR,Scotland,Northern Europe,EU,Europe,1,57.1482429,-2.0928095,
ACA,53,Acapulco,MX,,Mexico,MEX,NAME,,North America,AM,America,1,16.8680495,-99.8940182,
ACB,54,Bellaire,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,44.98316,-85.21027,
ACC,55,Accra,GH,,Ghana,GHA,SAFR,,Subsaharan Africa,AF,Africa,1,5.5571096,-0.2012376,
ACD,56,Acandi,CO,,Colombia,COL,SAME,,South America,AM,America,1,8.5115155,-77.2790562,
ACE,57,Lanzarote,ES,ESCAN,Spain,ESP,SEUR,Canary Islands,Southern Europe,EU,Europe,1,29.0011978,-13.6137266,
ACF,58,Alaer,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,37.7842483,75.2635498,
ACH,59,Altenrhein,CH,,Switzerland,CHE,WEUR,,Western Europe,EU,Europe,1,47.4903839,9.5540541,
ACI,60,Alderney,GB,GBDEP,United Kingdom,GBR,NEUR,UK Crown Dependencies,Northern Europe,EU,Europe,1,50.7461126,-1.9419775,
ACJ,61,Anuradhapura,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,8.334985,80.4106096,
ACK,62,Nantucket,US,US_MA,U.S.A.,USA,NAME,Massachusetts,North America,AM,America,1,44.8157235,-73.06765633,
ACL,63,Aguaclara,CO,,Colombia,COL,SAME,,South America,AM,America,1,3.4989912,-76.2376487,
ACM,64,Arica,CO,,Colombia,COL,SAME,,South America,AM,America,1,-2.1475772,-71.7540411,
ACN,65,Ciudad Acuna,MX,,Mexico,MEX,NAME,,North America,AM,America,1,29.3248796,-100.9322287,
ACP,66,Sahand,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,37.7300055,46.4999351,
ALC,67,Alicante,ES,ESVAL,Spain,ESP,SEUR,Valencian Community,Southern Europe,EU,Europe,1,38.3456306,-0.499118,
ACR,68,Araracuara,CO,,Colombia,COL,SAME,,South America,AM,America,1,-0.6124369,-72.3834752,
ACS,69,Achinsk,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,56.2694846,90.4953964,
ACT,70,Waco,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,43.59253285,-71.15749783,
ACU,71,Achutupo,PA,,Panama,PAN,CAME,,Central America,AM,America,1,42.07495,-79.48365,
ACV,72,Arcata,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,40.86766,-124.08506,
ACX,73,Xingyi,CN,CNGUI,China,CHN,NEAS,Guizhou,North East Asia,AS,Asia,1,25.0947613,104.8935472,
AIY,74,Atlantic City,US,US_NJ,U.S.A.,USA,NAME,New Jersey,North America,AM,America,1,39.36287,-74.42637,
ACZ,75,Zabol,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,31.0277779,61.4948211,
ADA,76,Adana,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,36.9863599,35.3252861,
IZM,77,Izmir,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,38.4237433,27.1428019,
ADC,78,Andakombe,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-7.1361149,145.7453793,
ADD,79,Addis Ababa,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,9.0358287,38.7524127,
ADE,80,Aden,YE,,Yemen,YEM,MIDE,,Middle East,AS,Asia,1,12.789585,45.028504,
ADF,81,Adiyaman,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,37.7602379,38.2772662,
ADG,82,Adrian,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,41.89748,-84.03707,
ADH,83,Aldan,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,58.608414,125.388222,
ADI,84,Arandis,NA,,Namibia,NAM,SAFR,,Subsaharan Africa,AF,Africa,1,-22.417425,14.97561,
AMM,85,Amman,JO,,Jordan,JOR,MIDE,,Middle East,AS,Asia,1,31.9515694,35.9239625,
ADK,86,Adak Island,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,48.11804,-122.31062,
ADL,87,Adelaide,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-34.9281805,138.5999312,
ADM,88,Ardmore,US,US_OK,U.S.A.,USA,NAME,Oklahoma,North America,AM,America,1,41.92197755,-91.6948175,
ADN,89,Andes,CO,,Colombia,COL,SAME,,South America,AM,America,1,5.6555942,-75.8778448,
ADO,90,Andamooka,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-30.4534886,137.1650158,
GOY,91,Gal Oya,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,7.1513728,81.3271204,
ADQ,92,Kodiak,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,57.80934,-152.36522,
ADR,93,Andrews,US,US_SC,U.S.A.,USA,NAME,South Carolina,North America,AM,America,1,33.45153,-79.56227,
DFW,94,Dallas,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,32.91460495,-97.06583422,
ADT,95,Ada,US,US_OK,U.S.A.,USA,NAME,Oklahoma,North America,AM,America,1,35.47529975,-97.51370779,
ADU,96,Ardabil,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,38.2515581,48.2972269,
ADV,97,Addeain,SD,,Sudan,SDN,NAFR,,North Africa,AF,Africa,1,37.8615,-87.06115,
ADW,98,Camp Springs,US,US_MD,U.S.A.,USA,NAME,Maryland,North America,AM,America,1,38.8057469,-76.87741646,
ADX,99,Saint Andrews,GB,GBSCO,United Kingdom,GBR,NEUR,Scotland,Northern Europe,EU,Europe,1,56.3403902,-2.7955844,
ADY,100,Alldays,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-22.6805556,29.1072222,
ADZ,101,San Andres Island,CO,,Colombia,COL,SAME,,South America,AM,America,1,12.58523,-81.69613,
AEA,102,Abemama Atoll,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,0.4077885,173.8662415,
AEB,103,Baise,CN,CNGXI,China,CHN,NEAS,Guangxi,North East Asia,AS,Asia,1,23.9053605,106.6148824,
AEE,104,Adareil,SS,,South Sudan,SSD,NAFR,,North Africa,AF,Africa,1,7.8699431,29.66679,
AEG,105,South Tapanuli Regency,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,1.90379,98.61364,
AEH,106,Abecher,TD,,Chad,TCD,SAFR,,Subsaharan Africa,AF,Africa,1,13.8280295,20.8283652,
AEI,107,Algeciras,ES,ESAND,Spain,ESP,SEUR,Andalusia,Southern Europe,EU,Europe,1,36.1298256,-5.4477563,
AEK,108,Aseki,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-7.3490678,146.1927561,
AEL,109,Albert Lea,US,US_MN,U.S.A.,USA,NAME,Minnesota,North America,AM,America,1,43.64733,-93.36871,
AEM,110,Amgu,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,45.841634,137.679034,
AEO,111,Aioun El Atrouss,MR,,Mauritania,MRT,SAFR,,Subsaharan Africa,AF,Africa,1,16.6597742,-9.6178808,
BUE,112,Buenos Aires,AR,AR_BA,Argentina,ARG,SAME,Buenos Aires,South America,AM,America,1,-34.6075682,-58.4370894,
CIF,113,Chifeng,CN,CNMOG,China,CHN,NEAS,Inner Mongolia,North East Asia,AS,Asia,1,42.2811677,118.9426564,
AER,114,Sochi,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,43.5854823,39.723109,
AES,115,Aalesund,NO,,Norway,NOR,NEUR,,Northern Europe,EU,Europe,1,62.47151,6.17293,
AET,116,Allakaket,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,66.56385,-152.65203,
AEU,117,Abu Musa,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,25.87779695,55.03055914,
AEX,118,Alexandria,US,US_LA,U.S.A.,USA,NAME,Louisiana,North America,AM,America,1,31.31266,-92.44568,
AEY,119,Akureyri,IS,,Iceland,ISL,NEUR,,Northern Europe,EU,Europe,1,65.68390355,-18.1121756,
AFA,120,San Rafael,AR,AR_MD,Argentina,ARG,SAME,Mendoza,South America,AM,America,1,-34.6126025,-68.330514,
AFD,121,Port Alfred,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-33.5981844,26.8914772,
COS,122,Colorado Springs,US,US_CO,U.S.A.,USA,NAME,Colorado,North America,AM,America,1,41.0334305,-73.5995698,
AFI,123,Amalfi,CO,,Colombia,COL,SAME,,South America,AM,America,1,6.9070097,-75.0735908,
ADP,124,Ampara,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,7.2978118,81.6790194,
AFL,125,Alta Floresta,BR,BR_MT,Brazil,BRA,SAME,Mato Grosso,South America,AM,America,1,-9.8698547,-56.0834993,
AFN,126,Jaffrey,US,US_NH,U.S.A.,USA,NAME,New Hampshire,North America,AM,America,1,42.81571,-72.02527,
AFO,127,Afton,US,US_WY,U.S.A.,USA,NAME,Wyoming,North America,AM,America,1,42.72282,-110.93358,
AFR,128,Afore,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-9.1407625,148.3868248,
AFS,129,Zarafshan,UZ,,Uzbekistan,UZB,EEUR,,Central/Eastern Europe,EU,Europe,1,41.5715707,64.2053263,
AFT,130,Afutara,SB,,Solomon Islands,SLB,OCEA,,Oceania,OC,Oceania,1,-9.6188478,160.1732178,
FTW,131,Fort Worth,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,32.75095,-97.33086,
AFY,132,Afyon,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,38.7562504,30.5393573,
AFZ,133,Sabzevar,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,36.2134053,57.6808799,
AGA,134,Agadir,MA,,Morocco,MAR,NAFR,,North Africa,AF,Africa,1,30.4205162,-9.5838532,
AGB,135,Augsburg,DE,DEBAV,Germany,DEU,WEUR,Bavaria,Western Europe,EU,Europe,1,48.3668041,10.8986971,
PIT,136,Pittsburgh,US,US_PA,U.S.A.,USA,NAME,Pennsylvania,North America,AM,America,1,39.1608652,-76.83591835,
AGD,137,Anggi,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-8.7101,121.4537,
AGE,138,Wangerooge,DE,DELOW,Germany,DEU,WEUR,Lower Saxony,Western Europe,EU,Europe,1,53.7891528,7.9016018,
AGF,139,Agen,FR,FRAQU,France,FRA,WEUR,New Aquitaine,Western Europe,EU,Europe,1,44.2015827,0.6176112,
AGG,140,Angoram,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-4.0562906,144.0729039,
AGH,141,Angelholm,SE,,Sweden,SWE,NEUR,,Northern Europe,EU,Europe,1,56.2429224,12.8619375,
AGI,142,Wageningen,SR,,Suriname,SUR,SAME,,South America,AM,America,1,5.7710604,-56.6876895,
AGJ,143,Aguni,JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,26.590619,127.232981,
AGK,144,Kagua,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-6.3971214,143.854313,
AGL,145,Wanigela,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-10.047078,148.213529,
AGM,146,Tasiilaq,GL,,Greenland,GRL,NEUR,,Northern Europe,EU,Europe,1,65.6152573,-37.6378149,
AGN,147,Angoon,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,57.50251,-134.58224,
AGO,148,Magnolia,US,US_AR,U.S.A.,USA,NAME,Arkansas,North America,AM,America,1,44.4432325,-73.0510315,
AGP,149,Malaga,ES,ESAND,Spain,ESP,SEUR,Andalusia,Southern Europe,EU,Europe,1,36.7196274,-4.4200006,
AGQ,150,Agrinion,GR,,Greece,GRC,SEUR,,Southern Europe,EU,Europe,1,38.6248275,21.4094206,
AGR,151,Agra,IN,INTTH,India,IND,SASI,Uttar Pradesh,South Asia,AS,Asia,1,27.1752554,78.0098161,
AGS,152,Augusta,US,US_GA,U.S.A.,USA,NAME,Georgia,North America,AM,America,1,42.5996464,-83.04302503,
AGT,153,Ciudad del Este,PY,,Paraguay,PRY,SAME,,South America,AM,America,1,-25.5169015,-54.6168645,
AGU,154,Aguascalientes,MX,,Mexico,MEX,NAME,,North America,AM,America,1,21.880487,-102.2967195,
AGV,155,Acarigua,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,9.5507961,-69.2032823,
AGW,156,Agnew,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-28.0113264,120.5175303,
AGX,157,Agatti Island,IN,INLAK,India,IND,SASI,Lakshadweep,South Asia,AS,Asia,1,10.8476321,72.18884684,
AGY,158,Argyle Downs,AU,AUWEA,Australia,AUS,OCEA,Western Australia,Oceania,OC,Oceania,1,-16.5034197,128.9174919,
AGZ,159,Aggeneys,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-29.2370676,18.8406534,
AHB,160,Abha,SA,,Saudi Arabia,SAU,MIDE,,Middle East,AS,Asia,1,18.2164282,42.5043596,
AHC,161,Herlong,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,40.1439,-120.12977,
AHE,162,Ahe,PF,,French Polynesia,PYF,OCEA,,Oceania,OC,Oceania,1,-14.56353,-146.39372,
AHF,163,Arapahoe,US,US_NE,U.S.A.,USA,NAME,Nebraska,North America,AM,America,1,36.01407345,-87.33654146,
AHH,164,Amery,US,US_WI,U.S.A.,USA,NAME,Wisconsin,North America,AM,America,1,45.30598,-92.36214,
AHI,165,Amahai,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-3.3081717,129.0010636,
AHJ,166,Hongyuan,CN,CNSIC,China,CHN,NEAS,Sichuan,North East Asia,AS,Asia,1,32.7930454,102.5426571,
AHL,167,Aishalton,GY,,Guyana,GUY,SAME,,South America,AM,America,1,2.4777029,-59.3211423,
AHM,168,Ashland,US,US_OR,U.S.A.,USA,NAME,Oregon,North America,AM,America,1,42.53394575,-82.9088041,
AHN,169,Athens,US,US_GA,U.S.A.,USA,NAME,Georgia,North America,AM,America,1,33.95816,-83.37312,
AHO,170,Alghero,IT,,Italy,ITA,SEUR,,Southern Europe,EU,Europe,1,40.5600205,8.3151473,
AHS,171,Ahuas,HN,,Honduras,HND,CAME,,Central America,AM,America,1,15.4759379,-84.3553341,
AHU,172,Al Hoceima,MA,,Morocco,MAR,NAFR,,North Africa,AF,Africa,1,35.245114,-3.930186,
AHW,173,Saihrawl,OM,,Oman,OMN,MIDE,,Middle East,AS,Asia,1,21.45014,57.27456,
AHY,174,Ambatolahy,MG,,Madagascar,MDG,SAFR,,Subsaharan Africa,AF,Africa,1,-20.012543,45.5386322,
AHZ,175,L'Alpe D'Huez,FR,FRAUR,France,FRA,WEUR,Auvergne and Rhone-Alpes,Western Europe,EU,Europe,1,45.092401,6.0699443,
AIA,176,Alliance,US,US_NE,U.S.A.,USA,NAME,Nebraska,North America,AM,America,1,42.09712,-102.87093,
AIC,177,Airok,MH,,Marshall Islands,MHL,OCEA,,Oceania,OC,Oceania,1,7.2788932,168.820906,
AID,178,Anderson,US,US_IN,U.S.A.,USA,NAME,Indiana,North America,AM,America,1,38.5961913,-82.4932125,
AIE,179,Aiome,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-5.1429533,144.7350561,
AIF,180,Assis,BR,BR_SP,Brazil,BRA,SAME,Sao Paulo,South America,AM,America,1,-22.6620892,-50.420623,
AIG,181,Yalinga,CF,,Central African Republic,CAF,SAFR,,Subsaharan Africa,AF,Africa,1,6.5103137,23.2500743,
AIH,182,Aiambak,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-7.3443851,141.2656422,
AII,183,Ali-Sabieh,DJ,,Djibouti,DJI,SAFR,,Subsaharan Africa,AF,Africa,1,11.15373,42.69801,
AIK,184,Aiken,US,US_SC,U.S.A.,USA,NAME,South Carolina,North America,AM,America,1,43.7971946,-90.0773495,
AIL,185,Ailigandi,PA,,Panama,PAN,CAME,,Central America,AM,America,1,9.22834355,-78.02779437,
AIM,186,Ailuk Island,MH,,Marshall Islands,MHL,OCEA,,Oceania,OC,Oceania,1,10.2204503,169.9820473,
AIN,187,Wainwright,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,34.208431,-92.3376518,
AIO,188,Atlantic,US,US_IA,U.S.A.,USA,NAME,Iowa,North America,AM,America,1,41.404,-95.01386,
AIP,189,Adampur,IN,INPUN,India,IND,SASI,Punjab,South Asia,AS,Asia,1,20.9897,78.05528849,
AIR,190,Aripuana,BR,BR_MT,Brazil,BRA,SAME,Mato Grosso,South America,AM,America,1,-10.175806,-59.4439663,
AIS,191,Arorae Island,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,-2.639436,176.8240967,
AIT,192,Aitutaki,CK,,Cook Islands,COK,OCEA,,Oceania,OC,Oceania,1,-18.88837815,-159.7831878,
AIU,193,Atiu Island,CK,,Cook Islands,COK,OCEA,,Oceania,OC,Oceania,1,-19.9951954,-158.1147308,
AIV,194,Aliceville,US,US_AL,U.S.A.,USA,NAME,Alabama,North America,AM,America,1,33.12943,-88.1531,
AIW,195,Ai-Ais,NA,,Namibia,NAM,SAFR,,Subsaharan Africa,AF,Africa,1,-27.9198234,17.4898019,
AIX,196,Aix en Provence,FR,FRPRO,France,FRA,WEUR,Provence Alpes Cote d'Azur,Western Europe,EU,Europe,1,43.5298424,5.4474738,
AIZ,197,Lake Ozark,US,US_MO,U.S.A.,USA,NAME,Missouri,North America,AM,America,1,38.18029,-92.6227,
AJA,198,Ajaccio,FR,FRCOR,France,FRA,WEUR,Corsica,Western Europe,EU,Europe,1,41.9263991,8.7376029,
AJF,199,Jouf,SA,,Saudi Arabia,SAU,MIDE,,Middle East,AS,Asia,1,29.77644115,40.01144064,
AJI,200,Agri,TR,,Turkiye,TUR,SEUR,,Southern Europe,EU,Europe,1,39.719125,43.0504894,
AJJ,201,Akjoujt,MR,,Mauritania,MRT,SAFR,,Subsaharan Africa,AF,Africa,1,19.7435804,-14.3855238,
AJK,202,Arak,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,34.0862719,49.6893884,
AJL,203,Aizawl,IN,INMIZ,India,IND,SASI,Mizoram,South Asia,AS,Asia,1,23.7435236,92.7382905,
AJN,204,Anjouan,KM,,Comoros,COM,SAFR,,Subsaharan Africa,AF,Africa,1,-12.22656805,44.41070486,
AJR,205,Arvidsjaur,SE,,Sweden,SWE,NEUR,,Northern Europe,EU,Europe,1,65.666667,19.25,
AJS,206,Abreojos,MX,,Mexico,MEX,NAME,,North America,AM,America,1,26.7148509,-113.5737879,
AJU,207,Aracaju,BR,BR_SE,Brazil,BRA,SAME,Sergipe,South America,AM,America,1,-10.9162061,-37.0774655,
AJY,208,Agades,NE,,Niger,NER,SAFR,,Subsaharan Africa,AF,Africa,1,16.972556,7.990739,
AKA,209,Ankang,CN,CNSHA,China,CHN,NEAS,Shaanxi,North East Asia,AS,Asia,1,32.7165184,108.9912989,
AKB,210,Atka,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,52.1948,-174.19712,
CAK,211,Akron,US,US_OH,U.S.A.,USA,NAME,Ohio,North America,AM,America,1,40.912671,-81.45773212,
AKD,212,Akola,IN,INMAH,India,IND,SASI,Maharashtra,South Asia,AS,Asia,1,20.7116604,77.002632,
AKE,213,Akieni,GA,,Gabon,GAB,SAFR,,Subsaharan Africa,AF,Africa,1,-0.6067927,12.92263,
AKF,214,Kufra,LY,,Libya,LBY,MIDE,,Middle East,AS,Asia,1,24.1807226,23.40328222,
AKG,215,Anguganak,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-3.563503,142.218848,
AKH,216,Al Kharj,SA,,Saudi Arabia,SAU,MIDE,,Middle East,AS,Asia,1,24.153889,47.291111,
AKI,217,Akiak,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,33.4460073,-111.9840139,
AKJ,218,Asahikawa,JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,43.770625,142.3649743,
AKK,219,Akhiok,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,57.80934,-152.36522,
AKL,220,Auckland,NZ,,New Zealand,NZL,OCEA,,Oceania,OC,Oceania,1,-36.852095,174.7631803,
AKM,221,Zakouma,TD,,Chad,TCD,SAFR,,Subsaharan Africa,AF,Africa,1,10.8917367,19.820382,
AKN,222,King Salmon,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,58.69753,-156.70382,
AKO,223,Akron,US,US_CO,U.S.A.,USA,NAME,Colorado,North America,AM,America,1,34.8960229,-107.5824333,
AKP,224,Anaktuvuk,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,70.21873,-150.99022,
